School ID,School Name,School Metro Type,School Percentage Free Lunch,School State,School Zip,School City,School County,School District
00003e0fdd601b8ea0a6eb44057b9c5e,Capon Bridge Middle School,rural,56,West Virginia,26711,Capon Bridge,Hampshire,Hampshire Co School District
00004e32a448b4832e1b993500bf0731,The Woodlands College Park High School,urban,41,Texas,77384,The Woodlands,Montgomery,Conroe Ind School District
0002021bb799f28de224f1acc1ff08c4,Samantha Smith Elementary School,suburban,2,Washington,98074,Sammamish,King,Lake Washington Sch Dist 414
0004604f675212a8cac1161338265196,Kingsbury Country Day School,unknown,76,Michigan,48370,Oxford,Oakland,Michigan Dept Of Education
0004c9d50bcf0cea990f844e58b5e2c3,Redwater Elementary School,rural,50,Texas,75573,Redwater,Bowie,Redwater Ind Sch District
0004ffe3558fd70d939ad522b92447c8,Math & Science Success Academy,unknown,63,Arizona,85706,Tucson,Pima,Arizona Dept Of Education
000622b5ef4515b583da788f20be16ca,Harbor Science & Arts Charter School,urban,17,New York,10029,New York City,New York (Manhattan),New York Dept Of Education
000630ab66464a738cab5036738075df,Spears Creek Child Development Center,unknown,15,South Carolina,29045,Elgin,Kershaw,Richland Co School District 2
00064eac8b3d1f6dea8a07559922ed58,Leadership Public School,urban,46,California,95122,San Jose,Santa Clara,San Jose Unified School Dist
0006658276977eeefb5bc7b0c7399b5b,Henking Primary School,suburban,29,Illinois,60025,Glenview,Cook,Glenview Cmty Cons Sch Dist 34
00073384a6b6c790563af323f0eb01b7,J Lyndal Hughes Elementary School,unknown,26,Texas,76262,Roanoke,Denton,Northwest Ind Sch District
00088700b1a74fdb0bcc7d8d458c25f6,Oakville Elementary School,rural,31,Maryland,20659,Mechanicsvlle,St Marys,St Mary'S Co Public Schools
0009338d5927605c8a282b9b0e2d5aa0,Carroll Springs School,suburban,47,Maryland,21157,Westminster,Carroll,Carroll Co Public School Dist
0009f8a900cc0954f1db5802a8ce8ba3,Wood View Elementary School,suburban,70,Illinois,60440,Bolingbrook,Will,Valley View Cmty Sd 365-U
000a178f0bbfca85c5f727ed9cc6c4cc,Midway Elementary School,town,61,Tennessee,37763,Kingston,Roane,Roane Co School District
000a21e544223a6cf1f3a79136275584,Franklin High School,rural,82,California,95215,Stockton,San Joaquin,Stockton Unif School District
000a7d0f9cb24753fe909185806b574e,PS 369K@117,unknown,34,New York,11205,New York City,Kings (Brooklyn),District 75
000ab96e3cdf1e01b250ecf167cb06f6,Yulee Primary School,unknown,49,Florida,32097,Yulee,Nassau,Nassau Co School District
000b2f99863f25561fb362c7e2dfb177,Acadian Elementary School,urban,95,Louisiana,71302,Alexandria,Rapides,Rapides Parish School District
000c0fa590e420e0c9e577956aaebefd,Cessna Elementary School,urban,86,Kansas,67217,Wichita,Sedgwick,Wichita Unified Sch Dist 259
000d029195c7cb218af279c03d616c3e,James Monroe Middle School,urban,45,New Mexico,87114,Albuquerque,Bernalillo,Albuquerque Pub School Dist
000d5924247585f5d01e90b85309cace,Pembroke Hill School,unknown,32,New Hampshire,03275,Pembroke,Merrimack,School Administrative Unit 53
000e4b381101e086c59ff9fd490d1677,Derry Village School,suburban,22,New Hampshire,03038,Derry,Rockingham,School Administrative Unit 10
000ebbd7649e911b52aa14097cc1c401,Williams Science & Fine Arts School,urban,90,Kansas,66612,Topeka,Shawnee,Topeka Unified School Dist 501
000ecd9bb117bf5092504b2c3f79d64a,Strawberry Mansion High School,urban,95,Pennsylvania,19121,Philadelphia,Philadelphia,Philadelphia City School Dist
000ef91ec1409e4e04f4fca354614919,Paradise Intermediate School,town,71,California,95969,Paradise,Butte,Paradise Unified Sch District
000f0266dd60e70dc1748a71009cd663,St Charles Elementary School,rural,69,Virginia,24282,Saint Charles,Lee,Lee Co School District
00100ceb5adae22eb6f42ce13155f59c,Lincoln Elementary School,suburban,52,California,94560,Newark,Alameda,Newark Unified School District
00119387afdc6b68323ca4403ad3a6d3,Collinsville 6th Grade Center,town,43,Oklahoma,74021,Collinsville,Tulsa,Collinsville School Dist I-006
0011daeaec656b3821749f1754bd2a1e,Howland Springs Primary School,suburban,44,Ohio,44484,Warren,Trumbull,Howland Local School District
0012464ec3c3cf59c453db9645ada702,Keppen Elementary School,suburban,86,Michigan,48146,Lincoln Park,Wayne,Lincoln Park Public Sch Dist
00134665ab6fca630c64ae4e9a6c6d18,Coronado Elementary School,suburban,18,Arizona,85297,Gilbert,Maricopa,Higley Unified School Dist 60
0013a562a6af65ff472558d5ac6d462d,General Shafter Elementary School,urban,0,California,93313,Bakersfield,Kern,General Shafter Elem Sch Dist
00143c0b221e2031e34273836da170c9,Burrillville Middle School,suburban,36,Rhode Island,02830,Harrisville,Providence,Burrillville School District
001740035cc4f644d8c18bc153cc927d,Iredell Charter Academy,unknown,50,North Carolina,28166,Troutman,Iredell,Iredell-Statesville Sch Dist
00196be646232668e9beeb6ed0a53e8c,Miller High School,rural,98,Ohio,43730,Corning,Perry,Southern Local School District-Perry
001a37fb7159bb793d29e4bac47e769a,Roosevelt High School,urban,81,Minnesota,55406,Minneapolis,Hennepin,Minneapolis Public Sch Dist
